TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO,Graham,U5,U10,ALL,MAX1,BAN
CPFE3,31.68,10.23,7.22,2.37,0.55,28.01,22.96,12.78,4.02,6.19,2.12,1.25,0.92,-34.79,-0.7,0.93,32.77,7.66,18.36,0.23,0.76,0.6,15.46,41.19,62475985.04,13.39,4.39,0.5,36941277346.4,0.871106722394578,0,0,0,1,
CYRE3,12.88,4.38,6.29,0.79,0.35,32.54,17.75,15.28,5.41,7.31,1.73,0.25,0.96,0.97,-0.77,2.9,12.63,5.55,7.54,0.44,0.52,0.36,8.44,40.16,139092784.75,16.22,2.05,-0.43,5312581798.71,0.4708930151378828,0,0,0,1,
DXCO3,7.33,17.47,4.95,0.94,0.36,34.82,15.97,12.88,3.99,6.67,2.63,0.62,0.64,3.43,-0.56,1.41,19.09,7.27,11.26,0.38,0.62,0.56,15.88,116.62,39723599.25,7.76,1.48,-0.22,5646345096.42,0.4559854628493751,0,0,0,1,
ENAT3,11.92,14.33,3.55,0.8,0.52,41.49,65.2,40.46,2.2,1.53,-0.71,-0.26,1.44,4.31,-0.74,1.69,22.4,14.63,22.43,0.65,0.35,0.36,30.52,42.3,22788110.82,14.98,3.36,0.09,3221579688.6,0.3542088850885636,0,0,0,1,
LEVE3,28.78,14.6,6.45,2.24,1.18,26.59,17.59,14.15,5.19,5.49,0.18,0.08,0.91,3.83,-3.14,1.96,34.78,18.24,27.27,0.52,0.48,1.29,11.02,87.6,6475544.25,12.84,4.47,0.96,3785100750.0,0.8008722709697006,0,0,0,1,
LOGG3,16.64,5.21,3.96,0.47,0.28,98.52,260.16,222.57,3.39,6.62,3.12,0.43,8.81,9.86,-0.31,1.36,11.81,7.01,8.78,0.59,0.39,0.03,9.07,64.5,9030509.18,35.59,4.2,0.11,1759180631.88,0.2869283254219377,0,0,0,1,
MOVI3,7.11,20.0,3.16,0.9,0.11,41.06,29.5,9.45,1.01,5.03,3.97,3.54,0.3,0.72,-0.17,1.8,28.56,3.49,11.9,0.12,0.88,0.37,23.01,83.02,46658088.54,7.88,2.25,0.26,2702773561.56,0.355978668156873,0,0,0,1,
NEOE3,14.58,5.48,4.01,0.66,0.19,28.89,20.82,10.23,1.97,5.95,3.95,1.33,0.41,3.43,-0.25,1.3,16.5,4.8,11.7,0.29,0.71,0.47,23.82,70.91,20102572.18,22.06,3.64,1.3,18012751160.32,0.3430147685446354,0,0,0,1,
PTBL3,7.71,4.32,5.47,2.4,0.49,44.43,15.57,8.99,3.16,4.84,1.57,1.19,0.49,4.57,-0.91,1.3,43.87,8.96,23.57,0.2,0.8,1.0,13.47,147.88,15651036.0,3.22,1.41,3.83,1127895088.0,0.7628262455410829,0,0,0,1,
SLCE3,43.79,5.54,6.97,1.94,0.62,33.97,28.0,14.52,3.61,4.8,1.17,0.63,1.01,3.23,-1.16,1.68,27.88,8.84,21.67,0.32,0.66,0.61,30.68,113.71,58349728.07,22.54,6.28,0.28,9342345904.02,0.7759377986909148,0,0,0,1,
SMTO3,25.12,2.9,6.56,1.63,0.49,38.37,38.94,21.55,3.63,6.67,3.03,1.36,1.41,3.22,-0.73,1.87,24.88,7.51,14.39,0.3,0.7,0.35,16.99,36.73,50632911.68,15.4,3.83,0.21,8910465150.93,0.6895545501834421,0,0,0,1,
