TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,63;;-18,01;2,13;0,95;30,55;-0,34;-12,41;-651,64;-813,26;-151,83;0,50;2,23;-26,25;-1,15;0,83;-11,83;-5,26;-1,68;0,45;0,54;0,42;3,62;;8.038.566,54;9,68;-1,15;0,04;2.477.051.567,04
ABCB4;18,30;6,99;5,52;0,82;0,08;28,19;16,40;14,70;4,95;5,05;;;0,81;1,53;-0,09;2,70;14,77;1,44;;0,10;0,90;0,10;7,15;13,84;16.496.526,75;22,43;3,31;0,12;4.221.102.503,06
ABEV3;15,17;3,98;18,24;2,65;1,68;49,47;21,95;16,57;13,78;13,16;-0,93;-0,18;3,02;36,33;-2,38;1,19;14,52;9,22;17,86;0,63;0,36;0,56;9,82;0,86;445.723.810,61;5,73;0,83;-1,05;244.285.863.359,01
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,03;2,01;-22,44;0,84;0,23;11,63;8,52;-1,46;3,86;7,25;3,50;0,76;0,33;0,63;-0,67;2,19;-3,73;-1,02;7,95;0,27;0,73;0,69;;;10.125.673,21;1,23;-0,05;0,15;766.213.456,00
AESB3;9,54;1,13;11,72;1,38;0,38;23,01;16,12;17,84;12,97;23,15;10,03;1,06;2,09;1,94;-0,52;3,63;11,73;3,24;-0,56;0,28;0,64;0,18;;;20.172.990,07;6,94;0,81;;5.808.598.551,15
AFLT3;9,12;2,59;4,81;2,12;1,83;82,74;80,13;77,75;4,66;4,41;-0,25;-0,11;3,74;10,26;-2,45;3,40;44,10;38,05;43,20;0,86;0,14;0,49;30,86;52,99;7.812,05;4,30;1,90;0,01;575.332.464,00
AGRO3;26,16;20,09;5,90;1,21;0,80;39,39;33,72;26,43;4,62;4,95;0,30;0,08;1,56;2,42;-1,52;3,28;20,50;13,58;16,13;0,66;0,34;0,51;59,78;75,47;17.444.556,11;21,65;4,44;0,87;2.696.610.390,72
AGXY3;8,70;1,93;-22,61;1,18;0,19;12,49;4,37;-0,61;3,18;6,16;2,81;1,05;0,14;7,96;-0,95;1,03;-5,23;-0,84;15,21;0,16;0,84;1,37;;;650.358,79;7,35;-0,38;-0,02;1.569.881.648,91
AHEB3;20,00;;-5,16;-2,11;0,59;30,92;-3,68;-15,89;-22,32;-22,43;-0,11;;0,82;-172,95;-0,79;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;8.003,33;-9,47;-3,87;0,11;170.877.880,00
AHEB5;22,00;;-5,68;-2,32;0,65;30,92;-3,68;-15,89;-24,55;-22,43;-0,11;;0,90;-190,25;-0,87;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;2.348,50;-9,47;-3,87;0,13;170.877.880,00
AHEB6;20,00;;-5,16;-2,11;0,59;30,92;-3,68;-15,89;-22,32;-22,43;-0,11;;0,82;-172,95;-0,79;0,99;-40,93;-11,41;11,01;-0,28;1,28;0,72;-1,24;;8.650,00;-9,47;-3,87;0,11;170.877.880,00
ALLD3;5,96;14,57;7,52;0,37;0,13;13,67;3,61;1,36;2,84;4,56;1,70;0,22;0,10;0,50;-0,47;1,59;4,91;1,76;7,51;0,36;0,64;1,29;;;247.131,32;16,15;0,79;-0,10;559.323.492,00
ALPA3;12,00;1,24;18,78;1,40;1,04;46,83;8,91;11,00;23,18;25,73;0,40;0,02;2,07;6,05;-1,72;1,76;7,45;5,52;4,82;0,74;0,26;0,50;-0,53;3,84;123.409,39;8,58;0,64;-6,47;8.957.774.321,22
ALPA4;13,77;1,18;21,55;1,61;1,19;46,83;8,91;11,00;26,60;25,73;0,40;0,02;2,37;6,94;-1,97;1,76;7,45;5,52;4,82;0,74;0,26;0,50;-0,53;3,84;79.600.081,68;8,58;0,64;-7,42;8.957.774.321,22
ALPK3;1,73;;-2,24;0,81;0,14;29,84;6,40;-15,39;5,38;23,95;18,45;2,77;0,34;-0,98;-0,16;0,44;-36,11;-6,36;3,53;0,18;0,82;0,41;;;260.885,71;2,14;-0,77;0,18;379.534.945,71
ALSO3;16,27;2,36;14,98;0,62;0,35;70,92;55,69;26,63;7,16;2,96;-4,36;-0,38;3,99;1,81;-0,47;3,98;4,17;2,34;7,18;0,56;0,35;0,09;22,33;24,54;36.138.955,79;26,05;1,09;0,20;4.422.459.025,92
ALUP11;25,32;4,86;7,84;1,02;0,27;80,24;73,84;22,37;2,38;5,13;2,71;1,16;1,75;2,39;-0,33;2,73;12,99;3,48;12,37;0,27;0,60;0,16;27,49;24,93;21.596.668,11;24,85;3,23;-0,24;7.531.053.204,43
